English;Lietuviškai
Coat hanger abortions;Abortai naudojant pakabą
Man meat;Žmogaus mėsa
Autocannibalism;Autokanibalizmas
Flightless birds;Neskraidantys paukščiai
Pictures of boobs;Papų paveiksliukai
Doing the right thing;Darant teisingai
Hunting accidents;Medžioklės nelaimės
A cartoon camel enjoying the smooth, refreshing taste of a cigarette;Pieštas kupranugaris besimėgaujantis gaivinančiu cigaretės dūmu
The violation of our most basic human rights;Pagrindinių mūsų žmogaus teisių pažeidimas
Viagra;Viagra
Self-loathing;Neapykanta sau pačiam
Spectacular abs;Įspūdingas pilvo presas
An honest cop with nothing left to lose;Sąžiningas neturintis ko prarasti mentas
Abstinence;Susilaikymas
A balanced breakfast;Subalansuoti pusryčiai
Mountain Dew Code Red;Mineralinis vanduo "Vytautas"
Concealing a boner;Stovinčio slėpimas
Roofies;Klofelinas
The Big Bang;The Big Bang
Amputees;Amputuoti žmonės
Dr. Marting Luther King Jr;Dr. Martinas Liuteris Kingas Jaunesnysis
Former President George W. Bush;Buvęs prezidentas Algirdas Brazauskas
Being marginalized;Būti atstumtu
Smegma;Smegma
Laying an egg;Padėti kiaušinį
Cuddling;Apkabinimas
Aaron Burr;Kunigaikštis Gediminas
The Pope;Popiežius
A bleached asshole;Depiliuota šiknaskylė
Horse meat;Arkliena
Genital piercings;Genitalijų auskarai
Fingering;Pa(si)tenkinimas pirštais
Elderly Japanese men;Japonas senukas
Science;Mokslas
Praying the gay away;Gėjų atsižegnojimas
Same-sex ice dancing;Tos pačios lyties porų dailusis čiuožimas
The terrorists;Teroristai
Making sex at her;Seksas jos namuose
German dungeon porn;Vokiškas požemių porno
Bingeing and purging;Rijimas ir vėmimas
Ethnic cleansing;Etninis valymas
Cheating in the Special Olympics;Apgaudinėjimas Parolimpinėse Žaidynėse
Nickelback;Nickelback
Heteronormativity;Heteronormatyvumas
William Shatner;Marius Jampolskis
Making a pouty face;Patempta lūpa
Chainsaws for hands;Benzopjūklo rankos
The placenta;Placenta
The profoundly handicapped;Visiškas neįgalumas
Tom Cruise;Tomas Kruzas
Object permanence;Objekto pastovumas
Goblins;Kaukas
An icepick lobotomy;Smegenų operacija naudojant ylą
Arnold Schwarzenegger;Arnoldas Švarcnegeris
Hormone injections;Hormonų injekcijos
A falcon with a cap on its head;Sakalas su akių gobtuvu
Foreskin;Apyvarpė
Dying;Mirtis
Stunt doubles;Triukų dubleriai
The invisible hand;Nematoma ranka
A really cool hat;Labai kieta skrybėlė
Flash flooding;Potvynis
Flavored condoms;Prezervatyvai su skoniu
Dying of disentery;Mirtis nuo dizenterijos
Sexy pillow fights;Seksuali kova pagalvėmis
A sad handjob;Liūdna masturbacija
Men;Vyrai
Historically black colleges;Taboras
Sean Penn;Vytautas Šapranauskas
Heartwarming orphans;Sielos našlaičiai
Waterboarding;Kankinimas vandeniu
The clitoris;Klitoris
Vikings;Vikingai
Friends who eat all the snacks;Draugai, kurie suvalgo visus užkandžius
The Underground Railroad;Požeminis geležinkelis
Pretending to care;Apsimetinėjimas, kad rūpi
Raptor attacks;Plėšrūno ataka
A micropenis;Mikropenis
A Gypsy curse;Čigonės prakeiksmas
Agriculture;Agrikultūra
Bling;Puikybė
A clandestine butt scratch;Slaptas užpakalio krapštukas
The South;Panevėžys
Sniffing glue;Klijų uostymas
Consultants;Konsultantai
Geese;Žąsys
Being a dick to children;Būti storžieviu su vaikais
Party poopers;Vakarėlio gadintojai
Sunshine and rainbows;Saulė ir vaivorykštės
Mutually-assured destruction;Abipusiai užtikrintas sunaikinimas
Sexting;Sekstingas
An Oedipus complex;Edipo kompleksas
Eating all of the cookies before the AIDS bake-sale;Suvalgyti visus sausainius prieš AIDS kepinių pardavimą
A sausage festival;Dešrelių festivalis
Michael Jackson;Maiklas Džeksonas
Chivalry;Riteriškumas
Sharing needles;Dalinimasis adatomis
Being rich;Būti turtingu
Muzzy;Mikė Pūkuotukas
Spontaneous human combustion;Savaiminis žmogaus užsidegimas
College;Kolegija
Necrophilia;Nekrofilija
The Chinese gymnastics team;Kinijos gimnastikos komanda
Global warming;Globalinis atšilimas
Farting and walking away;Nusibezdėjimas ir nuėjimas
Penis envy;Penio pavydas
Letting yourself go;Nesirūpinti savimi
White people;Baltieji
Dick Cheney;Mantas Adomėnas
Leaving an awkward voicemail;Palikti nejaukią balso žinutę
Yeast;Mielės
Natural selection;Natūrali atranka
Masturbation;Masturbacija
Twinkies;Saldainiai "Karvutė"
A LAN party;LAN party
Opposable thumbs;Nykščiai
Soiling oneself;Savęs apteršimas
Sperm whales;Kašalotai
Teaching a robot to love;Išmokyti robotą mylėti
A drive-by shooting;Šaudymas pravažiuojant
Whipping it out;Nuplakti rimbu
Panda sex;Pandų seksas
Catapults;Katapultos
Will Smith;Vilas Smitas
Land mines;Lauko minos
A sea of troubles;Daugybė problemų
Friction;Trintis
Balls;Apvalūs daiktai
AIDS;AIDS
The KKK;Kuklusklanas
Seppuku;Charakiri
Marky Mark and the Funky Bunch;G&G Sindikatas
Gandhi;Gandis
Dave Matthews Band;Rebelheart
Preteens;Paaugliai
Friends with benefits;Draugai su privalumais
Re-gifting;Perdovanojimas
Pixelated bukkake;Bukakė pridengta kvadratėliais
Substitute teachers;Pakaitinis mokytojas
Take-backsies;Atsiėmimas
A thermonuclear detonation;Termobranduolinė detonacija
The Tempur-Pedic Swedish Sleep System;"Dormeo" čiužinukas
Waiting 'til marriage;Palaukti iki santuokos
A tiny horse;Mažas arkliukas
Old-people smell;Senų žmonių kvapas
Genghis Khan;Čingischanas
Authentic Mexican cuisine;Autentiška meksikietiška virtuvė
Oversized lollipops;Per dideli čiulpinukai
Garth Brooks;Virgis Stakėnas
Keanu Reeves;Keanu Reeves
Drinking alone;Gerti vienam
The American Dream;Amerikietiška svajonė
Taking off your shirt;Nusivilkti savo marškinėlius
Giving 110%;Atiduoti 110%
Flesh-eating bacteria;Mėsą valganti bakterija
Child abuse;Vaikų išnaudojimas
A cooler full of organs;Organų pilnas šaldiklis
A moment of silence;Tylos akimirka
The Rapture;Liūdni Slibinai
Keeping Christ in Chrismas;Prisiminti Kristų per Kalėdas
Robocop ;Robokopas
That one gay Teletubby;Tas gėjus teletabis
Sweet, sweet vengeance;Saldus saldus kerštas
Fancy Feast;Kačių maistas "Whiskas"
Being a motherfucking sorcerer; Būti močkrušiu burtininku
Jewish fraternities; Žydų brolijos
Edible underpants; Valgomi apatiniai
Poor people; Vargšai
All-you-can-eat shrimps for $4.99; Viskas, ką gali valgyti yra užpilami makaronai
Britney Spears at 55; Natalija Bunkė 55-erių
That thing that electrocutes your abs; Daiktas, kuris užtrumpina tavo pilvo presą
The folly of man; Žmogiškas kvailumas
Fiery poops; Ugninis šūdas
Cards Against Humanity; Kortos Prieš Žmogiškumą
A murder most foul; Nužudyti labiausiai prasikaltusį
Me time; Mano laikas
The inevitable heat death of the universe; Neišvengiama visatos mirtis
Nocturnal emissions;Naktiniai išsikrovimai
Daddy issues;Tėčio problemos
The hardworking Mexican;Sunkiai dirbantis lenkas
Natalie Portman;Natalie Portman
Waking up half-naked in a Denny's parking lot;Atsibusti pusiau nuogam Akropolio automobilių stovėjimo aikštelėje
Nipple blades;Krūtų speneliai
Full frontal nudity;Visiškas nuogumas iš priekio
Hulk Hogan;Žydrūnas Savickas
Passive-aggression;Pasyvi agresija
Ronald Reagan;Vytautas Landsbergis
Vehicular manslaughter;Žmogžudystė transporto priemone
Menstruation;Menstruacijos
Pulling out;Ištraukimas
Picking up girls at the abortion clinic;Merginos kabinimas aborto klinikoje
The homosexual agenda;Homoseksualų reklama
The Holy Bible;Šventoji Biblija
World peace;Pasaulio taika
Dropping a chandelier on your enemies and riding the rope up;Numesti liustra ant savo priešų ir pakilti virve į viršų
Testicular torsion;Sėklidžių sukimas
The milk man;Paštininkas
A time-travel paradox;Kelionių laiku paradoksas
Guys who don't call;Vyrukai, kurie neskambina
Eating the last known bison;Suvalgyti paskutinį žinomą taurą
Darth Vader;Darth Vader
Scalping;Nuskalpavimas
Homeless people;Benamiai
The World of Warcraft;The World of Warcraft
Saxophone solos;Saksofono solo
Sean Connery;Sean Connery
God;Dievas
Intelligent design;Protingas dizainas
Friendly fire;Draugiška ugnis
Eugenics;Eugenika
Lockjaw;Stabligė
A neglected Tamagotchi;Apleistas tamagošis
Robert Downey Jr.;Robert Downey Jr.
The heart of a child;Vaiko širdis
Seduction;Vilionė
Smallpox blankets;Raupų antklodė
Licking things to claim them as your own;Aplaižyti daiktus, kad po to juos būtų galima vadinti savais
A salty surprise;Druskingas siurprizas
Poorly-timed Holocaust jokes;Holokausto juokeliai netinkamu metu
My soul;Mano siela
My sex life;Mano seksualinis gyvenimas
Pterodactyl eggs;Pterodaktilio kiaušiniai
Altar boys;Altoriaus berniukai
72 virgins;72 nekaltos mergelės
Raping and pillaging;Prievartavimas ir plėšimas
Pedophiles;Pedofilai
Eastern European Turbo-Folk music;Rytų Europiečių turbo-folk muzika
A snapping turtle biting the tip of your penis;Kaimaninis vėžlys kandantis tavo penio galiuką
Pabst Blue Ribbon;Švyturio "Ekstra"
Domino's Oreo Dessert Pizza;Čili pica
My collection of high-tech sex toys;Mano high-tech sekso žaislų kolekcija
A middle-aged man on roller skates;Vidutinio amžiaus vyras ant riedučių
The Blood of Christ;Kristaus kraujas
Half-assed foreplay;Nevykųsi įžanga
Free samples;Nemokami pavyzdžiai
Douchebags on their iPhones;Mulkiai su savo iPhone'ais
Hurricane Katrina;Uraganas Katrina
Wearing underwear inside-out to avoid doing laundry;Išverstų apatinių dėvėjimas, kad nereiktų skalbti
Republicans;Konservatoriai
A foul mouth;Nepraustaburnis
Jerking off into a pool of children's tears;Pabaigti į vaikų ašarų baseiną
Getting really high;Labai stipriai apsinešti
Michelle Obama's arms;Kristinos Brazauskienės rankos
Explosions;Sprogimai
The Übermensch;Antžmogis
Donald Trump;Antanas Guoga
Sarah Palin;Milda Bertašiūtė
Attitude;Požiūris
This answer is postmodern;Šis atsakymas yra postmodernistinis
Crumpets with the Queen; Atlikti analinį aktą stebint šuniui
Frolocking;Erzinti
Team-building exercises;Team-building'o užduotys
Repression;Represijos
Road head; Patenkinti vairuojantį partnerį oraliniu būdu
An asymmetric boob job; Nesimetriška krutų plastinė operacija
Dead parents; Mirę tėvai
Public ridicule; Viešas pažeminimas
A mating display;Poravimosi rodymas
A mime having a stroke;Mimas patiriantis insultą
Stephen Hawking talking dirty;Nešvankiai kalbantis Stephen Hawking
African Children;Afrikiečių vaikai
Mouth herpes;Burnos herpis
Overcompensation;Kompensacijos permoka
Bill Nye the Science Guy;Rolandas Maskoliūnas
Bitches;Kalės
Italians;Rusai
Have some more kugel;Suvalgyti dar cepelinų
A windmill full of corpses;Vėjo malūnas pilnas lavonų
Her Royal Highness, Queen Elizabeth II;Jos didenybė, Karalienė Elizabeta II
Crippling debt;Slegianti skola
A stray pube;Gaktos plaukas
Passing a kidney stone; Inkstų akmens pasišalinimas
Prancing;Pasišokinėjimas
Leprosy;Raupsai
A brain tumor;Smegenų auglys
Bees ?;Bitės?
Puppies !;Šuniukai!
Cockfights;Gaidžių peštynės
Kim Jong-Il;Kim Jong Ilas
Hope;Viltis
Incest;Kraujomaiša
Grave robbing;Kapų plėšimas
Asians who aren't good at math;Azijiečiai, kurie nėra geri matematikoje
Alcoholism;Alkoholizmas
(I am doing Kegels right now.);(Aš dabar darau Kėgelio pratimus)
Justin Bieber;Justin Bieber
The Jews;Žydai
Bestiality;Gyvuliškumas
Winking at old people;Mirksėjimas seniems žmonėms
Kids with ass cancer;Vaikai su šiknos vėžiu
Loose lips;Palaidas liežuvis
Auschwitz;Aušvitcas
Civilian casualties;Civilių aukos
Inappropriate yodeling;Netinkamas jodliavimas
Being on fire;Degti
A vajazzled vagina;Papuošta vagina
Riding off into the sunset;Joti į saulėlydį
Exchanging pleasantries;Apsikeisti mandagumais
My relationship status;Mano santykių būsena
Shaquille O'Neal's acting career;Šakilo O'Nilo vaidybos karjera
Being fabulous;Būti neįtikėtinu
Lactation;Laktacija
Not reciprocating oral sex;Oralinis seksas be atsakymo
My genitals;Mano genitalijos
Date rape;Išprievartavimas pasimatymo metu
Ring Pops;Čiupačiupsai
Judge Judy;Rūta Grinevičiūtė-Janutienė
The gays;Gėjai
Scientology;Scientologija
Estrogen;Estrogenas
Police brutality;Policijos žiaurumas
Passable transvestites;Priimtinas transvestitas
Tiger Woods;Tiger Woods
Racism;Rasizmas
Surprise sex !;Netikėtas seksas
Booby-trapping the house to foil burglars;Pridaryti spastų namie, kad sukliudyti plėšikams
New Age music;Lietuviška pop muzika
A lifetime of sadness;Liūdnas gyvenimas
Doin't it in the butt;To darymas į užpakalį
Tentacle porn; Čiuptuvų porno
Too much hair gel; Per daug plaukų želė
American Gladiators; Amerikos Gladiatoriai
Barack Obama; Dalia Grybauskaitė
Golden showers; Auksinis dušas
Wiping her butt; Nuvalyti jos užpakalį
Getting drunk on mouthwash; Nusigerti nuo burnos skalavimo skysčio
A M. Night Shyamalan plot twist; M. Night Shyamalan scenarijus posūkis
A robust mongoloid;Tvirtas mongoloidas
Nazis;Naciai
White privilege;Baltųjų privilegija
An erection that lasts longer than four hours;Erekcija, kuri trunka ilgiau nei keturias valandas
A disappointing birthday party;Nuviliantis gimtadienio vakarėlis
Puberty;Lytinis subrendimas
Two midgets shitting into a bucket;Du neūžaugos šikantis į kibirą
Wifely duties;Žmonos pareigos
The forbidden fruit;Uždraustas vaisius
Getting so angry that you pop a boner;Supykti taip stipriai, kad atsistoja
Sexual tension;Seksualinė įtampa
Those times when you get sand in your vagina;Tie kartai kai smėlis patenka į vaginą
A Super Soaker full of cat pee; Vandens šautuvas pilnas kačių šlapimo
Muhammad (Praise Be Unto Him); Pranašas Muhamedas
Racially-biased SAT questions;Rasiškai šališki egzaminai
Porn stars;Porno žvaigždės
A fetus;Gemalas
Obesity;Nutukimas
When you fart and a little bit comes out;Kai nusibezdi ir šiek tiek pašiki
Oompa-Loompas;Gustavas
BATMAN!!!;BETMANAS!!!
Black people;Čigonai
Tasteful sideboob;Skoningai atrodanti nevisiškai pridengta krūtinė
Hot people;Karšti žmonės
Grandma;Močiutė
Cooping a feel;Nepadoriai liesti
The Trail of Tears;Tremtis į Sibirą
Famine;Badas
Finger painting;Piešimas pirštais
The miracle of childbirth;Gimdymo stebuklas
Goats eating cans;Ožkos valgančios skardines
A monkey smoking a cigar;Beždžionė rūkanti cigarą
Faith healing;Gydymas tikėjimu
Parting the Red Sea;Atskirti Raudonąją Jūrą
Dead babies;Mirę kūdikiai
The Amish;Amišai
Impotence;Impotencija
Child beauty pageants;Vaikų grožio karalienės
Centaurs;Kentaurai
AXE Body Spray;AXE kūno dezodorantas
Kanye West;Rytis Cicinas
Women's suffrage;Moterų rinkimų teisė
Children on leashes;Vaikai su pavadėliais
Harry Potter erotica;Hario Poterio erotika
The Dance of the Sugar Plum Fairy;Gulbių ežeras
Lance Armstrong's missing testicle;Lanco Armstrongo trūkstama sėklidė
Dwarf tossing;Nykštukų mėtymas
Mathletes;Kompiuterastai
Women in yogurt commercials;Moterys jogurto reklamose
Powerful thighs;Stiprūs šlaunų raumenys
Multiple stab wounds;Daugybinės durtinės žaizdos
Cybernetic enhancements;Kibernetiniai patobulinimai
Serfdom;Baudžiava
Another goddamn vampire movie;Dar vienas prakeiktas filmas apie vampyrus
